,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
3082,8.0,,,27.0,17.5,9.5
3086,21.0,,28.0,,24.5,3.5
3091,29.0,,,,29.0,0.0
3093,27.0,,,,27.0,0.0
3100,41.0,,,,41.0,0.0
3101,21.0,31.0,,,26.0,5.0
3126,4.0,,,25.0,14.5,10.5
3130,6.0,,,23.0,14.5,8.5
3140,42.0,,,,42.0,0.0
3144,17.0,,17.0,,17.0,0.0
3156,24.0,,29.0,,26.5,2.5
3157,43.0,,,,43.0,0.0
3174,21.0,,,,21.0,0.0
3178,19.0,,,,19.0,0.0
3198,25.0,23.0,25.0,21.0,23.5,1.6583123951777
3203,19.0,,,,19.0,0.0
3205,19.0,,,4.0,11.5,7.5
3206,17.0,31.0,,,24.0,7.0
3211,5.0,,,,5.0,0.0
3213,4.0,,,,4.0,0.0
3225,19.0,,,,19.0,0.0
3230,25.0,,,24.0,24.5,0.5
3240,21.0,,29.0,,25.0,4.0
3247,19.0,,,,19.0,0.0
3251,6.0,,,,6.0,0.0
3253,4.0,,,,4.0,0.0
3255,25.0,,,,25.0,0.0
3264,24.0,,,,24.0,0.0
3265,24.0,,,23.0,23.5,0.5
3266,27.0,28.0,24.0,,26.333333333333332,1.699673171197595
3271,4.0,,,4.0,4.0,0.0
3279,7.0,,,,7.0,0.0
3282,7.0,4.0,,7.0,6.0,1.4142135623730951
3296,28.0,,,,28.0,0.0
3304,4.0,,,,4.0,0.0
3311,7.0,,29.0,,18.0,11.0
3313,4.0,,,,4.0,0.0
3346,20.0,,,,20.0,0.0
3353,24.0,4.0,,,14.0,10.0
3355,22.0,,,30.0,26.0,4.0
3369,4.0,8.0,22.0,,11.333333333333334,7.717224601860151
3372,4.0,,30.0,,17.0,13.0
3373,27.0,,,29.0,28.0,1.0
3376,24.0,,,,24.0,0.0
3383,25.0,,,,25.0,0.0
3401,7.0,,,,7.0,0.0
3411,27.0,,,,27.0,0.0
3422,30.0,20.0,,,25.0,5.0
3428,23.0,,,19.0,21.0,2.0
3429,25.0,30.0,,,27.5,2.5
3431,4.0,,,,4.0,0.0
3438,22.0,,,,22.0,0.0
3440,42.0,,,24.0,33.0,9.0
3444,4.0,,,,4.0,0.0
3451,31.0,,,,31.0,0.0
3465,31.0,19.0,4.0,,18.0,11.045361017187261
3478,8.0,,,21.0,14.5,6.5
3481,4.0,,31.0,,17.5,13.5
3484,42.0,,,,42.0,0.0
3492,4.0,,,,4.0,0.0
3502,19.0,,,,19.0,0.0
3507,6.0,,,,6.0,0.0
3511,20.0,,,,20.0,0.0
3512,21.0,,,,21.0,0.0
3519,4.0,,25.0,26.0,18.333333333333332,10.143416036468626
3521,24.0,,,,24.0,0.0
3527,30.0,,,,30.0,0.0
3534,25.0,,,,25.0,0.0
3535,8.0,,,,8.0,0.0
3542,22.0,,,8.0,15.0,7.0
3543,22.0,,,,22.0,0.0
3549,22.0,,22.0,,22.0,0.0
3552,26.0,,,,26.0,0.0
3554,18.0,,,,18.0,0.0
3565,4.0,17.0,,19.0,13.333333333333334,6.649979114420002
3580,24.0,,,,24.0,0.0
3594,7.0,,,,7.0,0.0
3596,4.0,,,,4.0,0.0
3598,25.0,,,,25.0,0.0
3599,21.0,,,,21.0,0.0
3606,27.0,,,,27.0,0.0
3615,43.0,,,,43.0,0.0
3616,30.0,,,,30.0,0.0
3617,7.0,5.0,,,6.0,1.0
3624,4.0,,,,4.0,0.0
3642,23.0,,,,23.0,0.0
3644,19.0,22.0,,,20.5,1.5
3648,30.0,,,,30.0,0.0
3649,4.0,,23.0,21.0,16.0,8.524474568362947
3652,4.0,,23.0,,13.5,9.5
3658,7.0,,,,7.0,0.0
3662,26.0,,,,26.0,0.0
3663,23.0,,,,23.0,0.0
3671,21.0,,,,21.0,0.0
3675,20.0,,,,20.0,0.0
3685,28.0,24.0,,,26.0,2.0
3692,20.0,,,,20.0,0.0
3694,20.0,,,,20.0,0.0
3695,21.0,,,,21.0,0.0
3701,4.0,,,,4.0,0.0
3708,19.0,28.0,,,23.5,4.5
3724,18.0,,,,18.0,0.0
3725,19.0,31.0,,,25.0,6.0
3726,4.0,,,,4.0,0.0
3730,4.0,7.0,,,5.5,1.5
3732,20.0,,,,20.0,0.0
3753,4.0,,,,4.0,0.0
3758,26.0,,,,26.0,0.0
3760,22.0,,,,22.0,0.0
3762,21.0,7.0,,21.0,16.333333333333332,6.599663291074443
3806,29.0,,,,29.0,0.0
