,db_100,db_101,db_102,db_103
551,1.0,1.0,1.0,2.0
552,1.0,2.0,1.0,2.0
553,3.0,2.0,1.0,2.0
554,3.0,3.0,1.0,2.0
555,3.0,5.0,1.0,2.0
556,3.0,5.0,1.0,2.0
557,3.0,5.0,1.0,3.0
558,4.0,5.0,1.0,3.0
559,4.0,4.0,2.0,2.0
560,2.0,3.0,2.0,1.0
561,2.0,3.0,1.0,2.0
562,1.0,3.0,1.0,2.0
563,1.0,3.0,2.0,1.0
564,1.0,4.0,2.0,0.0
565,1.0,2.0,1.0,0.0
566,1.0,1.0,0.0,0.0
567,1.0,0.0,0.0,0.0
568,1.0,0.0,0.0,0.0
569,0.0,0.0,0.0,0.0
570,0.0,0.0,0.0,0.0
571,0.0,0.0,1.0,0.0
572,0.0,0.0,1.0,0.0
573,2.0,0.0,1.0,0.0
574,2.0,0.0,1.0,0.0
575,2.0,1.0,1.0,0.0
576,2.0,1.0,2.0,0.0
577,2.0,1.0,2.0,0.0
578,3.0,1.0,2.0,0.0
579,3.0,1.0,2.0,1.0
580,3.0,1.0,2.0,1.0
581,3.0,2.0,2.0,2.0
582,3.0,2.0,2.0,3.0
583,4.0,2.0,1.0,3.0
584,4.0,2.0,0.0,3.0
585,1.0,2.0,0.0,2.0
586,1.0,2.0,0.0,2.0
587,1.0,2.0,0.0,1.0
588,1.0,1.0,0.0,1.0
589,0.0,1.0,0.0,2.0
590,0.0,1.0,0.0,1.0
591,0.0,1.0,1.0,1.0
592,0.0,1.0,1.0,0.0
593,0.0,2.0,1.0,1.0
594,0.0,2.0,0.0,1.0
595,0.0,2.0,1.0,2.0
596,1.0,2.0,2.0,2.0
597,2.0,2.0,2.0,2.0
598,2.0,2.0,2.0,2.0
599,2.0,2.0,2.0,2.0
600,2.0,2.0,2.0,4.0
601,2.0,3.0,2.0,4.0
602,3.0,3.0,2.0,4.0
603,4.0,3.0,3.0,6.0
604,4.0,3.0,3.0,6.0
605,4.0,3.0,4.0,6.0
606,4.0,3.0,5.0,6.0
607,3.0,2.0,4.0,3.0
608,3.0,2.0,4.0,3.0
609,2.0,1.0,6.0,3.0
610,2.0,1.0,6.0,3.0
611,2.0,3.0,5.0,2.0
612,2.0,3.0,4.0,1.0
613,0.0,3.0,3.0,1.0
614,1.0,3.0,4.0,2.0
615,2.0,3.0,5.0,1.0
616,1.0,2.0,4.0,1.0
617,1.0,1.0,2.0,0.0
618,0.0,1.0,2.0,0.0
619,1.0,1.0,2.0,0.0
620,1.0,1.0,2.0,0.0
621,2.0,1.0,2.0,1.0
622,3.0,1.0,2.0,1.0
623,3.0,1.0,2.0,2.0
624,3.0,1.0,2.0,2.0
625,4.0,1.0,2.0,2.0
626,4.0,1.0,2.0,2.0
627,5.0,2.0,2.0,2.0
628,6.0,4.0,2.0,3.0
629,6.0,4.0,2.0,3.0
