,channel_100,channel_101,channel_102,channel_103
1038,0,0,0,0
1039,0,0,0,0
1040,0,0,0,0
1041,7,6,12,5
1042,10,7,9,8
1043,7,7,6,9
1044,4,6,3,3
1045,3,4,4,4
1046,1,4,5,6
1047,1,9,7,6
1048,3,9,6,4
1049,3,6,5,6
1050,3,4,6,0
1051,3,7,6,2
1052,3,6,4,2
1053,0,2,2,1
1054,0,0,2,1
1055,0,0,0,0
1056,0,0,0,0
1057,0,0,0,0
1058,0,0,0,0
1059,0,0,0,1
1060,0,0,0,0
1061,0,0,0,0
1062,0,0,0,0
1063,0,0,0,0
1064,0,0,0,0
1065,7,7,10,7
1066,7,6,10,9
1067,7,5,5,5
1068,9,5,3,5
1069,5,4,5,4
1070,6,2,7,6
1071,4,6,4,6
1072,3,6,9,6
1073,3,4,9,6
1074,4,5,5,8
1075,2,4,3,4
1076,3,4,5,3
1077,1,0,2,2
1078,0,0,0,1
1079,0,0,0,0
1080,0,0,0,0
1081,0,0,0,0
1082,0,0,0,0
1083,0,0,0,0
1084,0,0,0,0
1085,0,0,0,0
1086,0,0,0,0
1087,0,0,0,0
1088,0,0,0,0
1089,11,9,11,15
1090,14,6,9,11
1091,11,4,6,7
1092,5,0,5,5
1093,5,2,1,5
1094,5,2,0,5
1095,6,1,1,3
1096,5,1,2,4
1097,5,0,2,2
1098,2,0,3,2
1099,0,0,2,3
1100,1,1,1,2
1101,1,0,0,1
1102,1,0,0,1
1103,0,0,0,0
1104,0,0,0,0
1105,0,0,0,0
1106,0,0,0,0
1107,0,0,0,0
1108,0,0,0,0
1109,0,0,0,0
1110,0,0,0,0
1111,0,0,0,0
1112,0,0,0,0
1113,3,2,3,3
1114,2,2,1,2
1115,0,2,0,0
1116,1,0,0,0
1117,0,0,0,0
1118,0,0,0,0
1119,0,0,0,0
1120,0,0,0,0
1121,0,0,0,0
1122,0,0,0,0
1123,0,0,0,0
1124,0,0,0,0
1125,0,0,0,0
1126,0,0,0,0
1127,0,0,0,0
1128,0,0,0,0
1129,0,0,0,0
1130,0,0,0,0
1131,0,0,0,0
1132,0,0,0,0
1133,0,0,0,0
1134,0,0,0,0
1135,0,0,0,0
1136,0,0,0,0
1137,0,0,0,0
1138,0,0,0,0
1139,0,0,0,0
1140,0,0,0,0
1141,0,0,0,0
1142,0,0,0,0
1143,0,0,0,0
1144,0,0,0,0
1145,0,0,0,0
1146,0,0,0,0
1147,0,0,0,0
1148,0,0,0,0
1149,0,0,0,0
1150,0,0,0,0
1151,0,0,0,0
1152,0,0,0,0
1153,0,0,0,0
1154,0,0,0,0
1155,0,0,0,0
1156,0,0,0,0
1157,0,0,0,0
1158,0,0,0,0
1159,0,0,0,0
1160,0,0,0,0
1161,0,0,0,0
1162,0,0,0,0
1163,0,0,0,0
1164,0,0,0,0
1165,0,0,0,0
1166,0,0,0,0
1167,0,0,0,0
1168,0,0,0,0
1169,0,0,0,0
1170,0,0,0,0
1171,0,0,0,0
1172,0,0,0,0
1173,0,0,0,0
1174,0,0,0,0
1175,0,0,0,0
1176,0,0,0,0
1177,0,0,0,0
1178,0,0,0,0
1179,0,0,0,0
1180,0,0,0,0
1181,0,0,0,0
1182,0,0,0,0
1183,0,0,0,0
1184,0,0,0,0
1185,0,0,0,0
1186,0,0,0,0
1187,0,0,0,0
1188,0,0,0,0
1189,0,0,0,0
1190,0,0,0,0
1191,0,0,0,0
1192,0,0,0,0
1193,0,0,0,0
1194,0,0,0,0
1195,0,0,0,0
1196,0,0,0,0
1197,0,0,0,0
1198,0,0,0,0
1199,0,0,0,0
1200,0,0,0,0
1201,0,0,0,0
1202,0,0,0,0
1203,0,0,0,0
1204,0,0,0,0
1205,0,0,0,0
1206,0,0,0,0
1207,0,0,0,0
1208,0,0,0,0
1209,0,0,0,0
1210,0,0,0,0
1211,0,0,0,0
1212,0,0,0,0
1213,0,0,0,0
1214,0,0,0,0
1215,0,0,0,0
1216,0,0,0,0
1217,0,0,0,0
1218,0,0,0,0
1219,0,0,0,0
1220,0,0,0,0
1221,0,0,0,0
1222,0,0,0,0
1223,0,0,0,0
1224,0,0,0,0
1225,0,0,0,0
1226,0,0,0,0
1227,0,0,0,0
1228,0,0,0,0
1229,0,0,0,0
1230,0,0,0,0
1231,0,0,0,0
1232,0,0,0,0
1233,2,3,4,4
1234,5,3,4,8
1235,3,5,3,5
1236,2,6,4,6
1237,2,5,3,5
1238,1,13,5,7
1239,0,9,2,5
1240,1,4,6,2
1241,4,3,7,3
1242,5,2,4,4
1243,6,3,4,4
1244,7,6,7,6
1245,1,4,3,4
1246,0,2,0,3
1247,0,0,0,0
1248,0,0,1,0
1249,0,0,0,0
1250,0,0,0,0
1251,0,0,0,0
1252,0,0,0,0
1253,0,0,0,0
1254,0,0,0,0
1255,0,0,0,0
1256,0,0,0,0
1257,8,7,11,10
1258,5,9,12,9
1259,4,5,7,4
1260,7,4,6,4
1261,5,9,4,8
1262,5,5,5,6
1263,5,6,6,7
1264,7,8,9,9
1265,8,8,10,6
1266,10,11,10,5
1267,8,8,5,8
1268,11,5,5,9
1269,4,3,3,5
1270,1,0,1,0
1271,0,0,0,0
1272,0,0,0,0
1273,0,0,0,0
1274,0,0,0,0
1275,0,0,0,0
1276,0,0,0,0
1277,0,0,0,0
1278,0,0,0,0
1279,0,0,0,0
1280,0,0,0,0
1281,6,6,10,11
1282,8,8,14,10
1283,6,6,5,8
1284,5,4,6,9
1285,7,5,4,7
1286,10,8,6,7
1287,8,7,5,9
1288,5,7,7,10
1289,5,8,7,7
1290,4,5,6,8
1291,8,12,11,7
1292,6,8,9,4
1293,2,2,3,1
1294,0,1,1,0
1295,0,0,0,0
1296,0,0,0,0
1297,0,0,0,0
1298,0,0,0,0
1299,0,0,0,0
1300,0,0,0,0
1301,0,0,0,0
1302,0,0,0,0
1303,0,0,0,0
1304,0,0,0,0
1305,7,5,7,6
1306,7,9,8,7
1307,4,9,9,9
1308,4,3,6,6
1309,5,1,4,5
1310,3,6,2,8
1311,3,5,4,7
1312,4,7,4,7
1313,7,7,9,7
1314,6,6,9,5
1315,8,7,9,10
1316,7,8,6,8
1317,2,2,4,4
1318,0,1,1,2
1319,0,0,0,0
1320,0,0,0,0
1321,0,0,0,0
1322,0,0,0,0
1323,0,0,0,0
1324,0,0,0,0
1325,0,0,0,0
1326,0,0,0,0
1327,0,0,0,0
1328,0,0,0,0
1329,3,9,8,8
1330,5,11,7,4
1331,3,5,5,4
1332,4,5,2,3
1333,8,4,5,3
1334,8,7,3,9
1335,6,5,7,7
1336,3,5,7,6
1337,5,7,9,6
1338,4,9,10,6
1339,8,10,7,4
1340,7,9,8,8
1341,4,3,4,1
1342,1,0,2,0
1343,0,0,0,0
1344,0,0,0,0
1345,0,0,0,0
1346,0,0,0,0
1347,0,0,0,0
1348,0,0,0,0
1349,0,0,0,0
1350,0,0,0,0
1351,0,0,0,0
