,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1455,0.0,38.21,13.0,,17.07,15.862423101993802
1456,14.0,,0.0,1.0,5.0,6.377042156569663
1457,0.0,,0.0,,0.0,0.0
1459,20.86,33.61,,,27.235,6.375
1460,36.36,33.26000000000001,,,34.81,1.5499999999999936
1461,61.95,,12.0,,36.975,24.975
1462,13.07,33.16,12.0,,19.41,9.732526222243978
1463,13.82,39.06,11.0,1.0,16.22,14.020720380921945
1464,35.59,,11.12,,23.355,12.235000000000001
1465,14.84,,,0.0,7.42,7.42
1466,38.75,33.01,11.0,0.0,20.689999999999998,15.810741601835126
1467,63.47,31.34,,0.0,31.603333333333335,25.91218803746393
1470,16.97,34.48999999999999,11.0,0.0,15.614999999999997,12.482268423647998
1471,18.11,28.34,,12.0,19.483333333333334,6.741089592112605
1472,39.46,13.84,10.0,12.0,18.825,11.990774578816833
1473,62.25,27.58,,13.0,34.276666666666664,20.656308694655223
1474,16.2,30.17,9.0,,18.456666666666667,8.788690965603974
1476,11.66,,,11.75,11.705,0.04499999999999993
1478,28.44,31.19,8.34,11.0,19.7425,10.16292373040357
1479,29.91,,12.72,11.56,18.063333333333336,8.390233740619042
1480,9.33,49.63,8.65,10.0,19.4025,17.45838104607641
1481,29.09,,9.98,9.0,16.023333333333333,9.24818660903615
1482,11.22,50.56,,10.73,24.17,18.66162015117301
1483,25.34,11.9,12.91,7.91,14.515,6.523436594311314
1485,58.11,3.62,9.95,8.0,19.919999999999998,22.16784495615214
1486,29.65,,,10.0,19.825,9.825
1487,27.01,51.58,9.69,7.67,23.9875,17.61505659230194
1489,31.16,46.77,25.84,10.93,28.675000000000004,12.81138653698342
1490,34.15,,11.12,,22.634999999999998,11.515
1491,30.87,2.38,11.37,11.78,14.1,10.385405625203092
1493,47.66,47.21,26.07,12.39,33.332499999999996,14.909682047247015
1494,31.13,50.95,,11.44,31.173333333333332,16.129919060208856
1495,4.4,2.55,24.67,,10.540000000000001,10.019923486068478
1496,45.19,20.72,23.45,,29.786666666666665,10.948675211590162
1498,45.02,3.05,23.68,,23.916666666666668,17.134997973608154
1499,1.0,23.78,,33.84,19.540000000000003,13.738015383113629
1501,66.85,26.5,26.16,27.27,36.695,17.414641110284183
1502,46.42,17.86,0.0,12.8,19.27,16.972804718136597
1503,66.91,,1.0,,33.955,32.955
1504,68.72,25.36,4.0,,32.693333333333335,26.925860349403052
1505,90.69999999999999,37.93,0.0,26.24,38.7175,33.00580734885908
1508,4.04,37.24,0.0,26.76,17.01,15.507066131283507
1510,51.93,35.55,3.45,24.23,28.79,17.6356627320892
1511,21.51,39.5,2.82,26.62,22.6125,13.173897249864975
1512,44.17,36.63,17.6,26.28,31.17,10.085492055422979
1513,47.64,,,27.9,37.769999999999996,9.870000000000001
1516,20.16,44.28,1.0,3.38,17.205,17.288148397095625
1517,23.45,17.53,,29.64,23.540000000000003,4.9442963773085715
1520,63.09,18.89,15.15,,32.37666666666667,21.771212389044596
1521,64.42,59.23999999999999,17.77,3.59,36.255,26.126016248176835
1522,12.12,60.28,21.69,0.0,23.5225,22.570981785248065
1523,35.9,35.2,14.4,0.0,21.375,15.063594358585204
1524,64.49,62.69,21.38,20.31,42.2175,21.38531900042644
1525,63.03,37.69,13.33,21.06,33.777499999999996,19.045022151470448
1527,32.67,37.3,,20.24,30.069999999999997,7.203281659540092
1528,56.11,,,2.6,29.355,26.755
1530,34.38,38.39,13.0,,28.590000000000003,11.144687822755138
1532,62.74,76.17,36.93,2.55,44.597500000000004,28.074703359964467
1533,85.51,76.43,14.14,,58.69333333333333,31.72129918875049
1534,32.45,30.59,,17.28,26.773333333333337,6.755611659123761
1536,34.24,76.89,18.69,,43.27333333333333,24.603669554673253
1538,35.73999999999999,26.38,18.15,19.26,24.882499999999997,7.019025484353218
1540,98.73,79.39,14.53,24.96,54.4025,35.517529034970885
1542,81.05000000000001,34.43,14.24,,43.24000000000001,27.97744448658598
1543,10.36,81.95,15.36,13.61,30.32,29.862535893657796
1546,83.43,,14.7,36.98999999999999,45.04,28.630462797516916
1547,54.29,46.93,31.95,,44.38999999999999,9.295432570174809
1548,47.69,50.6,,19.18,39.156666666666666,14.175505477955824
1549,49.81,46.57,14.72,15.99,31.772499999999997,16.46353907123253
1550,56.32,,16.65,20.0,30.99,17.96315302686771
1551,46.27,48.01,16.24,,36.839999999999996,14.583710090371381
1552,69.63,49.11,28.88,41.03,47.1625,14.836093446389448
1553,98.48,70.87,28.52,34.62,58.12250000000001,28.372090489599106
1554,49.87,21.0,14.31,33.39,29.642500000000002,13.536745131308338
1555,51.68000000000001,44.90000000000001,,,48.290000000000006,3.389999999999997
1557,54.22,28.86,28.06,39.81,37.7375,10.588107420592218
1558,70.4,43.17999999999999,13.83,16.17,35.894999999999996,23.019590026757648
1559,26.82,44.08,52.28,34.06,39.31,9.676471464330373
1560,1.0,,26.74,39.84,22.526666666666667,16.13382643874526
1561,116.5,50.62,,38.53,68.55,34.26313762631788
1563,22.19,92.58000000000001,30.5,33.64,44.727500000000006,27.942597745199002
1564,23.58,47.68,25.17,,32.14333333333333,11.005242185229527
1565,43.09,41.41,,31.19,38.56333333333333,5.258652129797351
1567,0.0,,51.24,,25.62,25.62
1568,115.66,39.19,23.38,39.62,54.4625,35.93328844887426
1571,70.23,93.67,,,81.95,11.719999999999999
1572,88.39,65.05,30.83,10.88,48.787499999999994,29.967804703548104
1573,0.0,23.85,69.41,12.22,26.369999999999997,26.241148031288567
1574,1.0,,22.84,56.07,26.636666666666667,22.641955647769375
1575,39.86,,,27.65,33.754999999999995,6.105
1576,39.95,65.55,52.95,59.67999999999999,54.5325,9.526747543101997
1577,114.29,72.03,31.28,,72.53333333333333,33.89055948523456
1578,63.34,,47.74,,55.540000000000006,7.800000000000001
1579,71.44,44.51000000000001,1.0,,38.98333333333334,29.02133046953951
1580,136.19,24.21,29.86,36.6,56.714999999999996,46.09407472766971
1583,83.08,70.44,,,76.75999999999999,6.32
1584,40.45,,0.0,,20.225,20.225
1586,34.05,58.29,29.14,10.52,33.0,17.036259859487938
