,all_100,all_101,all_102,all_103
567,8.0,3.0,2.0,2.0
568,7.0,3.0,2.0,2.0
569,4.0,2.0,1.0,1.0
570,4.0,2.0,1.0,1.0
571,6.0,3.0,5.0,1.0
572,6.0,4.0,5.0,2.0
573,8.0,5.0,5.0,2.0
574,9.0,6.0,5.0,5.0
575,13.0,9.0,5.0,6.0
576,14.0,10.0,7.0,6.0
577,14.0,11.0,9.0,6.0
578,15.0,14.0,10.0,6.0
579,16.0,14.0,11.0,9.0
580,17.0,16.0,13.0,9.0
581,17.0,18.0,13.0,11.0
582,18.0,18.0,14.0,12.0
583,16.0,14.0,11.0,8.0
584,12.0,16.0,9.0,5.0
585,9.0,16.0,11.0,5.0
586,11.0,15.0,11.0,7.0
587,11.0,15.0,9.0,7.0
588,9.0,12.0,7.0,5.0
589,6.0,14.0,5.0,5.0
590,3.0,11.0,3.0,3.0
591,3.0,8.0,4.0,2.0
592,1.0,9.0,4.0,2.0
593,2.0,9.0,4.0,4.0
594,4.0,7.0,3.0,4.0
595,5.0,8.0,7.0,5.0
596,8.0,8.0,11.0,5.0
597,10.0,9.0,11.0,5.0
598,11.0,10.0,12.0,6.0
599,14.0,10.0,16.0,8.0
600,14.0,13.0,17.0,10.0
601,16.0,14.0,18.0,10.0
602,17.0,15.0,19.0,10.0
603,20.0,16.0,22.0,12.0
604,22.0,17.0,24.0,14.0
605,23.0,19.0,26.0,15.0
606,25.0,20.0,29.0,16.0
607,19.0,17.0,25.0,14.0
608,17.0,16.0,23.0,13.0
609,15.0,14.0,24.0,11.0
610,15.0,12.0,24.0,9.0
611,13.0,14.0,20.0,9.0
612,12.0,13.0,16.0,10.0
613,10.0,14.0,12.0,6.0
614,9.0,12.0,12.0,4.0
615,8.0,10.0,16.0,3.0
616,7.0,9.0,18.0,4.0
617,6.0,8.0,16.0,4.0
618,4.0,7.0,11.0,1.0
619,6.0,8.0,11.0,3.0
620,6.0,10.0,11.0,3.0
621,10.0,10.0,13.0,6.0
622,11.0,11.0,14.0,5.0
623,11.0,14.0,16.0,7.0
624,13.0,15.0,16.0,8.0
625,15.0,15.0,16.0,8.0
626,15.0,17.0,16.0,12.0
627,17.0,18.0,16.0,12.0
628,19.0,21.0,19.0,14.0
629,21.0,23.0,20.0,14.0
630,23.0,25.0,21.0,14.0
631,19.0,21.0,16.0,10.0
632,17.0,20.0,13.0,8.0
633,15.0,19.0,10.0,8.0
634,14.0,19.0,10.0,8.0
635,15.0,20.0,7.0,6.0
636,14.0,21.0,9.0,9.0
637,13.0,19.0,8.0,6.0
638,13.0,16.0,8.0,3.0
639,12.0,14.0,9.0,2.0
640,6.0,12.0,8.0,2.0
641,3.0,11.0,7.0,1.0
642,3.0,12.0,6.0,2.0
643,3.0,13.0,8.0,2.0
644,4.0,15.0,9.0,3.0
645,5.0,17.0,10.0,6.0
646,5.0,18.0,11.0,11.0
647,6.0,19.0,12.0,13.0
648,7.0,19.0,12.0,15.0
649,8.0,20.0,13.0,16.0
650,9.0,20.0,14.0,18.0
651,11.0,22.0,14.0,19.0
652,12.0,23.0,15.0,20.0
653,13.0,23.0,16.0,21.0
654,13.0,24.0,19.0,22.0
655,10.0,19.0,14.0,17.0
656,7.0,17.0,11.0,16.0
657,7.0,17.0,9.0,17.0
658,6.0,17.0,8.0,14.0
659,8.0,14.0,7.0,13.0
660,7.0,13.0,6.0,16.0
661,5.0,8.0,3.0,13.0
662,2.0,7.0,4.0,12.0
663,2.0,6.0,7.0,9.0
664,2.0,7.0,6.0,10.0
665,1.0,5.0,5.0,10.0
666,5.0,6.0,3.0,8.0
667,6.0,6.0,3.0,9.0
668,7.0,6.0,3.0,11.0
669,8.0,7.0,5.0,12.0
670,9.0,9.0,5.0,14.0
671,10.0,12.0,5.0,15.0
672,10.0,14.0,7.0,15.0
673,10.0,15.0,9.0,16.0
674,12.0,15.0,11.0,16.0
675,13.0,16.0,13.0,17.0
676,15.0,17.0,14.0,17.0
677,17.0,18.0,15.0,18.0
678,17.0,20.0,17.0,21.0
679,14.0,16.0,14.0,15.0
680,11.0,13.0,13.0,13.0
681,9.0,12.0,13.0,14.0
682,8.0,12.0,14.0,13.0
683,8.0,11.0,11.0,15.0
684,8.0,8.0,8.0,16.0
685,9.0,6.0,7.0,11.0
686,8.0,4.0,5.0,8.0
687,6.0,4.0,6.0,10.0
688,5.0,2.0,7.0,8.0
689,5.0,2.0,6.0,7.0
690,4.0,5.0,5.0,7.0
691,5.0,8.0,7.0,9.0
692,5.0,9.0,7.0,11.0
693,5.0,9.0,7.0,11.0
694,7.0,10.0,8.0,12.0
695,8.0,11.0,8.0,12.0
696,8.0,11.0,9.0,12.0
697,10.0,14.0,11.0,15.0
698,10.0,15.0,12.0,17.0
699,12.0,17.0,12.0,20.0
700,16.0,19.0,14.0,21.0
701,18.0,19.0,15.0,23.0
702,20.0,19.0,17.0,25.0
703,19.0,13.0,15.0,19.0
704,18.0,14.0,12.0,16.0
705,20.0,16.0,9.0,13.0
706,18.0,15.0,8.0,15.0
707,15.0,12.0,5.0,15.0
708,12.0,10.0,1.0,15.0
709,10.0,9.0,0.0,15.0
710,7.0,9.0,1.0,12.0
711,3.0,10.0,2.0,10.0
712,3.0,10.0,7.0,10.0
713,6.0,10.0,7.0,11.0
714,5.0,7.0,5.0,10.0
715,7.0,7.0,6.0,11.0
716,9.0,9.0,6.0,13.0
717,9.0,9.0,8.0,15.0
718,8.0,10.0,12.0,15.0
719,9.0,12.0,15.0,17.0
720,14.0,12.0,16.0,19.0
721,14.0,12.0,18.0,19.0
722,15.0,12.0,18.0,22.0
723,15.0,13.0,20.0,24.0
724,16.0,14.0,23.0,27.0
725,17.0,16.0,26.0,28.0
726,18.0,16.0,27.0,30.0
727,14.0,13.0,24.0,24.0
728,13.0,13.0,21.0,23.0
729,12.0,13.0,19.0,22.0
730,11.0,12.0,15.0,21.0
731,11.0,12.0,13.0,19.0
732,11.0,9.0,13.0,16.0
733,9.0,8.0,14.0,17.0
734,7.0,8.0,12.0,13.0
735,7.0,7.0,7.0,14.0
736,6.0,6.0,6.0,17.0
737,5.0,1.0,6.0,17.0
738,4.0,1.0,6.0,13.0
739,4.0,2.0,7.0,15.0
740,4.0,4.0,7.0,17.0
741,5.0,4.0,7.0,17.0
742,6.0,7.0,7.0,17.0
743,7.0,8.0,10.0,19.0
744,8.0,10.0,10.0,19.0
745,8.0,10.0,10.0,21.0
746,8.0,11.0,11.0,22.0
747,9.0,11.0,13.0,23.0
748,10.0,11.0,14.0,23.0
749,10.0,13.0,15.0,23.0
750,11.0,14.0,17.0,23.0
751,8.0,11.0,12.0,17.0
752,5.0,10.0,11.0,15.0
753,3.0,9.0,15.0,11.0
754,3.0,8.0,13.0,10.0
755,3.0,7.0,9.0,9.0
756,3.0,6.0,9.0,10.0
757,4.0,8.0,7.0,9.0
758,3.0,7.0,5.0,8.0
759,4.0,7.0,5.0,7.0
760,3.0,5.0,5.0,6.0
761,2.0,5.0,4.0,5.0
762,4.0,4.0,4.0,4.0
763,7.0,4.0,4.0,5.0
